Depth_m,weight_kg
4.41030529,0.369473802
4.344145104,0.504120995
4.424602618,0.624274621
4.36096549,0.715651369
5.944324521,0.061043985
5.97067646,0.109108239
5.938998066,0.1523927
5.99506602,0.190827283
5.992542962,0.234097726
5.95778083,0.330268285
5.983852429,0.383140366
5.74976872,0.397675983
6.040200723,0.416767122
5.950211657,0.460079616
5.889097586,0.508185921
5.94544588,0.541812677
5.99534636,0.686019456
6.594432452,0.411692972
6.569482212,0.339589583
6.583499201,0.099198228
7.250707858,0.156569763
7.513105884,0.15644361
7.510582826,0.199714053
7.478063413,0.257421995
7.238933588,0.3584985
7.502172633,0.343948866
7.441058563,0.392055171
7.467130162,0.444927252
7.431246671,0.560329119
7.429003953,0.598791736
7.450029436,0.738204704
8.042667713,0.574458243
9.000308374,0.150920916
8.99301954,0.27592442
9.014605702,0.405721735
8.954052311,0.444212385
8.952089933,0.477867175
9.008157887,0.516301758
9.005634829,0.559572202
8.743236803,0.559698354
8.945361778,0.593255025
8.998906675,0.674960052
9.669479409,0.674637661
9.931877435,0.674511508
9.862072832,0.871660452
8.961060806,0.824016708
8.986852065,0.881696616
8.923775616,0.963457711
9.008998907,1.001878276
8.973676095,1.107664489
8.973676095,1.107664489
8.973676095,1.107664489
8.973676095,1.107664489
8.973676095,1.107664489
8.973676095,1.107664489
8.973676095,1.107664489
8.973676095,1.107664489
8.973676095,1.107664489
8.973676095,1.107664489
8.973676095,1.107664489
8.973676095,1.107664489
8.973676095,1.107664489
8.973676095,1.107664489
8.973676095,1.107664489
8.998065656,1.189383533
9.905525497,1.126447254
10.78298898,1.577948474
10.80149141,1.260631886
10.77513947,0.712567632
11.46870006,0.31800342
11.52336632,0.380477138
12.15525217,0.543634885
12.03330436,0.635039668
12.08937232,0.673474251
12.07058955,0.995598666
12.03750946,1.062922262
12.05573155,1.250413501
12.01087718,1.519665835
13.57937821,0.119873286
13.65731266,0.283297356
13.55582967,0.523730762
13.54938185,0.634310785
13.55358695,1.062193378
13.20372291,1.062361582
13.44930055,1.350705055
13.40640857,1.586302599
13.40640857,1.586302599
13.40640857,1.586302599
13.40640857,1.586302599
13.40640857,1.586302599
13.40640857,1.586302599
13.40640857,1.586302599
13.40640857,1.586302599
13.40640857,1.586302599
13.40640857,1.586302599
13.40640857,1.586302599
13.40640857,1.586302599
13.40640857,1.586302599
13.40640857,1.586302599
13.40640857,1.586302599
13.40640857,1.586302599
13.40640857,1.586302599
13.40640857,1.586302599
13.40640857,1.586302599
13.40640857,1.586302599
13.40640857,1.586302599
13.40640857,1.586302599
13.40640857,1.586302599
13.40640857,1.586302599
13.40640857,1.586302599
13.40640857,1.586302599
13.40640857,1.586302599
13.40640857,1.586302599
13.40640857,1.586302599
13.40640857,1.586302599
13.40640857,1.586302599
13.40640857,1.586302599
13.40640857,1.586302599
13.40640857,1.586302599
13.40640857,1.586302599
13.40640857,1.586302599
14.97434891,1.196125704
15.01359648,1.523029912
14.96117294,1.922093577
14.95276275,2.06632839
18.0087466,1.656205321
16.54705503,1.224215749
16.53387906,0.950183623
16.03235121,0.55138628
16.03459393,0.512923663
16.03739733,0.464845393
18.0785512,0.459056376
18.10153907,0.564814555
18.06929999,0.61771467
21.19396709,0.529673965
21.09472681,0.731644753
18.92770037,0.896148132
19.55706316,1.102576323
19.55397942,1.15546242
24.07473858,1.124442825
19.53575734,1.467971181
20.94838945,2.241330493
20.94614673,2.779793109
